"filename", "language", "Markdown", "HTML", "YAML", "Dart", "JSON", "comment", "blank", "total"
"c:\Users\marie\Documents\GitHub\GBO-Updated\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\marie\Documents\GitHub\GBO-Updated\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 22, 4, 29
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\data\german_cities.dart", "Dart", 0, 0, 0, 2131, 0, 2, 10, 2143
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\firebase_config.dart", "Dart", 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\main.dart", "Dart", 0, 0, 0, 35, 0, 0, 5, 40
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\models\court.dart", "Dart", 0, 0, 0, 94, 0, 3, 7, 104
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\models\team.dart", "Dart", 0, 0, 0, 47, 0, 0, 5, 52
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\models\tournament.dart", "Dart", 0, 0, 0, 296, 0, 3, 33, 332
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\models\tournament_criteria.dart", "Dart", 0, 0, 0, 297, 0, 26, 27, 350
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\screens\bulk_add_teams_screen.dart", "Dart", 0, 0, 0, 644, 0, 39, 44, 727
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\screens\home_screen.dart", "Dart", 0, 0, 0, 62, 0, 2, 5, 69
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\screens\team_management_screen.dart", "Dart", 0, 0, 0, 498, 0, 7, 26, 531
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\screens\tournament_detail_screen.dart", "Dart", 0, 0, 0, 591, 0, 14, 18, 623
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\screens\tournament_edit_screen.dart", "Dart", 0, 0, 0, 3270, 0, 144, 227, 3641
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\screens\tournament_management_screen.dart", "Dart", 0, 0, 0, 229, 0, 2, 15, 246
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\services\court_service.dart", "Dart", 0, 0, 0, 118, 0, 15, 20, 153
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\services\team_service.dart", "Dart", 0, 0, 0, 62, 0, 11, 11, 84
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\services\tournament_service.dart", "Dart", 0, 0, 0, 114, 0, 13, 14, 141
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\utils\bracket_id_helper.dart", "Dart", 0, 0, 0, 137, 0, 15, 16, 168
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\utils\bracket_templates.dart", "Dart", 0, 0, 0, 292, 0, 18, 27, 337
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\widgets\custom_bracket_builder.dart", "Dart", 0, 0, 0, 2373, 0, 108, 197, 2678
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\widgets\side_navigation.dart", "Dart", 0, 0, 0, 175, 0, 4, 10, 189
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\widgets\team_avatar.dart", "Dart", 0, 0, 0, 103, 0, 2, 11, 116
"c:\Users\marie\Documents\GitHub\GBO-Updated\lib\widgets\tournament_overview.dart", "Dart", 0, 0, 0, 357, 0, 10, 23, 390
"c:\Users\marie\Documents\GitHub\GBO-Updated\pubspec.yaml", "YAML", 0, 0, 29, 0, 0, 59, 16, 104
"c:\Users\marie\Documents\GitHub\GBO-Updated\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 10, 7, 31
"c:\Users\marie\Documents\GitHub\GBO-Updated\web\index.html", "HTML", 0, 19, 0, 0, 0, 15, 5, 39
"c:\Users\marie\Documents\GitHub\GBO-Updated\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 1, 36
"Total", "-", 10, 19, 32, 11951, 35, 544, 792, 13383
